task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	60/9f8cec	46851	Extract_fungi	CACHED	0	2024-08-19 19:09:35.132	16.4s	15.6s	95.6%	5.9 MB	36.2 MB	9.6 GB	9.6 GB
2	95/0b660b	42644	Combine_fq (1)	CACHED	0	2024-08-19 19:08:22.510	789ms	749ms	-	-	-	-	-
3	95/2b4320	54636	Chopper (1)	CACHED	0	2024-08-19 19:09:51.496	16.9s	17s	95.6%	10 MB	1.1 GB	397.1 MB	345.5 MB
5	27/48fd06	56152	NanoPlot (1)	CACHED	0	2024-08-19 19:10:08.456	21.1s	20s	37.6%	1.7 GB	48.8 GB	75.2 MB	4.6 MB
4	f3/1d07a0	59948	Host_depletion_nanopore (1)	CACHED	0	2024-08-19 19:10:29.599	1m 41s	1m 40s	480.0%	17.3 GB	20.4 GB	11 GB	577.9 MB
7	fb/604d25	115437	Combine_fq (2)	CACHED	0	2024-08-19 20:16:35.490	948ms	228ms	50.5%	3.8 MB	22.6 MB	99.1 MB	99.1 MB
8	e2/d884e8	118311	Chopper (2)	CACHED	0	2024-08-19 20:17:22.831	13.2s	12s	122.6%	9.5 MB	1.1 GB	396.4 MB	344.8 MB
9	e0/b8a97d	119747	NanoPlot (2)	CACHED	0	2024-08-19 20:17:36.080	24.1s	23s	33.8%	2.5 GB	67.7 GB	75 MB	4.6 MB
10	d3/57e076	125851	Host_depletion_nanopore (2)	CACHED	0	2024-08-19 20:18:00.196	3m 5s	3m 4s	269.9%	17 GB	19.9 GB	11 GB	576.5 MB
6	1a/d5ce05	161623	Kraken_prefilter_nanopore (1)	COMPLETED	0	2024-08-19 20:36:39.066	9m 32s	9m 31s	2.7%	14.9 GB	14.9 GB	15 GB	95 MB
11	b3/ec91e1	178684	Kraken_prefilter_nanopore (2)	COMPLETED	0	2024-08-19 20:46:11.291	7.8s	7s	120.4%	15.2 GB	16.6 GB	15 GB	94.8 MB
13	02/8f7d16	179682	Align_fungi (1)	COMPLETED	0	2024-08-19 20:46:19.130	6m 53s	6m 53s	229.1%	32.9 GB	38.6 GB	6.1 GB	888.3 MB
14	c6/0d7ad8	190029	Extract_db (2)	COMPLETED	0	2024-08-19 20:53:12.388	4m 9s	4m 8s	3.3%	4.3 MB	35.5 MB	6.1 GB	6.1 GB
16	3f/090bf3	198509	Collect_unassigned_results (1)	COMPLETED	0	2024-08-19 20:57:21.138	9.5s	8.3s	118.0%	12.7 MB	44.3 MB	142.2 MB	141.1 MB
12	ac/590993	190024	Extract_db (1)	COMPLETED	0	2024-08-19 20:53:12.382	6m 9s	6m 9s	2.6%	4.2 MB	35.5 MB	7.1 GB	7.1 GB
17	9c/946f55	199598	Collect_alignment_results (1)	COMPLETED	0	2024-08-19 20:57:30.616	1m 58s	1m 58s	43.5%	2.8 GB	6.3 GB	519.4 MB	502.7 MB
15	ad/7e0774	206219	Align_fungi (2)	FAILED	0	2024-08-19 20:59:29.095	2m 25s	2m 24s	211.2%	31.9 GB	35.2 GB	2.1 GB	39.5 MB
24	d6/5658d4	210506	Minimap2_nanopore (7)	COMPLETED	0	2024-08-19 21:01:53.903	23.2s	22.5s	267.6%	4.9 GB	6.1 GB	667.3 MB	311.6 MB
27	19/29cf6c	212022	Minimap2_nanopore (10)	COMPLETED	0	2024-08-19 21:02:17.136	8.6s	7.8s	303.4%	1019.6 MB	1.8 GB	495.8 MB	286 MB
21	b3/bac4ba	212982	Minimap2_nanopore (4)	COMPLETED	0	2024-08-19 21:02:25.723	54.9s	54.2s	279.6%	15 GB	16.7 GB	1.1 GB	316.6 MB
